Name, Overall Place, Gender Place, Division Place, Finish Time, Bib Number, City, State 
Valerie Dirkx, 1171, 516, 62, 03:46:15.9, 9756, Madison, WI USA 
Carol Barford, 553, 192, 23, 02:26:15.5, 9823, Madison, WI USA 
Brittany Weber, 1090, 473, 31, 03:27:42.8, 9865, Pewaukee, WI USA 
Elizabeth R Souder, 1117, 485, 32, 03:32:50.6, 8615, Stillwater, MN USA 
Parson Partridge, 1092, 618, 63, 03:28:09.2, 8601, Burlington, WI USA 
Grant J Chiodo, 284, 202, 55, 02:01:25.8, 4943, Bloomington, MN USA 
John Jack L Udell, 977, 563, 66, 03:12:32.8, 7833, La Crosse, WI USA 
Steven J Quam, 1102, 626, 61, 03:29:50.0, 8830, Stillwater, MN USA 
Erin Larson, 1024, 437, 38, 03:18:01.4, 8640, Ashland, WI USA 
J Michael Meissner, 306, 219, 11, 02:03:33.0, 1910, Hinsdale, IL USA 
Margery L Biel, 1121, 488, 16, 03:33:38.2, 7869, Middleton, WI USA 
Terence J Galka, 1172, 656, 82, 03:46:43.3, 3829, Fitchburg, WI USA 
Debbie Werner, 1058, 455, 44, 03:21:54.3, 7849, Plymouth, WI USA 
Christine K Clement, 804, 322, 10, 02:50:56.9, 5959, Toledo, OH USA 
Bart Kocha, 1055, 601, 71, 03:21:40.9, 8651, Burlington, WI USA 
Andrew L Vrakas, 211, 160, 10, 01:54:46.3, 5884, Elm Grove, WI USA 
Gary M Stinson, 891, 515, 28, 03:02:46.1, 7718, Rice Lake, WI USA 
Christian Theyerl, 151, 119, 9, 01:47:20.2, 3895, Altoona, WI USA 
David C Hammer, 393, 271, 6, 02:12:17.8, 5938, Waukesha, WI USA 
Robert C Skow, 129, 105, 1, 01:44:00.1, 1931, St Cloud, MN USA 
Mark P Boushele, 985, 569, 69, 03:13:57.6, 7746, Neenah, WI USA 
Lyndsey A Baum, 243, 67, 4, 01:57:59.6, 3880, Chicago, IL USA 
Sherry L Koch, 422, 135, 16, 02:15:17.0, 3898, Merrill, WI USA 
John D Szafraniec, 1018, 586, 55, 03:17:38.1, 8745, Bloomington, MN USA 
Michael Edlavitch, 1236, 682, 38, 04:06:33.7, 8710, St Louis Park, MN USA 
Julie L Book, 361, 109, 6, 02:09:30.8, 3828, Madison, WI USA 
Lindsay M Walters, 1225, 546, 47, 04:02:06.6, 7858, Minneapolis, MN USA 
Timothy M Grangaard, 756, 459, 50, 02:46:25.1, 8910, Waconia, MN USA 
Deborah L Adams, 1077, 466, 47, 03:25:19.8, 2816, Minneapolis, MN USA 
Melissa A Zuck, 656, 242, 15, 02:35:29.0, 5960, Esko, MN USA 
Minde K Meng, 758, 298, 16, 02:46:56.0, 6938, Missoula, MT USA 
Cheryl R Glodoski, 791, 316, 25, 02:50:27.4, 4835, Hayward, WI USA 
Ben T Wicklund, 293, 211, 18, 02:02:22.6, 8848, Marine On Saint Croix, MN USA 
Elissa C Cedarleaf Dahl, 554, 193, 13, 02:26:25.1, 3859, Minneapolis, MN USA 
Mark Wenzel, 25, 23, 10, 01:23:31.5, 1846, Edgar, WI USA 
Scott J Cole, 421, 287, 12, 02:15:16.9, 7847, Eleva, WI USA 
Katherine L Glodoski, 687, 260, 46, 02:38:46.7, 5848, Hayward, WI USA 
Sam Williams, 349, 243, 21, 02:08:43.5, 8780, Winona, MN USA 
Steven McLoon, 220, 163, 6, 01:55:36.4, 2849, Roseville, MN USA 
Catherine L Egelhoff, 367, 112, 10, 02:10:18.5, 2832, Hobart, WI USA 
Harrison W Bennett, 803, 482, 23, 02:50:52.2, 8613, Minneapolis, MN USA 
Stephen W Walburg, 188, 143, 2, 01:51:56.1, 1851, Minneapolis, MN USA 
John L Wyland, 300, 215, 13, 02:02:49.3, 2866, Birchwood, MN USA 
Daniel Anfield, 820, 489, 74, 02:53:36.9, 7825, Channahon, IL USA 
Bonnie S Menigo, 876, 368, 28, 03:00:17.1, 6969, Pine City, MN USA 
Virginia  H Arvold, 256, 72, 4, 01:58:56.3, 3904, Norwich, VT USA 
