Name, Overall Place, Gender Place, Division Place, Finish Time, Bib Number, City, State 
NiklasDyrhaug, 1, 1,  , 1:59:01.7, 60, Trondheim NORNor 
IanTorchia, 2, 2,  , 1:59:03.3, 212, Rochester MNUSA 
RobinDuvillard, 3, 3,  , 1:59:03.7, 20, Chapelle-En-vercors FRAFra 
AdamMartin, 4, 4,  , 1:59:04.5, 211, Craftsbury Common VTUSA 
Anders NostdahlGloersen, 5, 5,  , 1:59:04.8, 59, Oslo OUSNor 
ErikBjornsen, 6, 6,  , 1:59:05.4, 4, Anchorage AKUSA 
AkeoMaifeld-Carucci, 7, 7, 1 M 25-29 , 1:59:09.8, 1, Craftsbury Common VTUSA 
BenoitChauvet, 8, 8, 1 M 35-39 , 1:59:13.8, 6, Megeve FRAFra 
SamWood, 9, 9, 1 M 18-24 , 2:00:44.2, 218, Ketchum IDUSA 
KyleBratrud, 10, 10, 2 M 25-29 , 2:00:49.4, 9, Eden Prairie MNUSA 
JackCarlyle, 11, 11, 3 M 25-29 , 2:01:00.5, 68, Canmore ABCan 
TylerKornfield, 12, 12, 4 M 25-29 , 2:01:17.5, 215, Anchorage AKUSA 
FabianStocek, 13, 13, 5 M 25-29 , 2:01:23.5, 10, Munich DEUCze 
ForrestMahlen, 14, 14, 6 M 25-29 , 2:01:27.0, 7, Anchorage AKUSA 
BrianGregg, 15, 15, 2 M 35-39 , 2:01:29.8, 2, Minneapolis MNUSA 
ThomasO'Harra, 16, 16, 2 M 18-24 , 2:01:51.1, 5, Anchorage AKUSA 
MattLiebsch, 17, 17, 3 M 35-39 , 2:01:54.0, 3, Orono MNUSA 
BradenBecker, 18, 18, 3 M 18-24 , 2:05:39.5, 213, Craftsbury Common VTUSA 
JulianSmith, 19, 19, 4 M 18-24 , 2:05:51.0, 217, Thunder Bay ONCan 
JeremieMillereau, 20, 20, 4 M 35-39 , 2:06:25.9, 21, Ancelle FRAFra 
BryanCook, 21, 21, 5 M 35-39 , 2:06:37.9, 11, Duluth MNUSA 
JulienLocke, 22, 22, 7 M 25-29 , 2:06:45.6, 129, Nelson BCCan 
