,Ovr,Bib,Name,"City, State, Nation",Age,Gender,Time,Pace
0,1.,23,"Schumacher, Gus","Anchorage, AK, USA",23,M,1:58:18,2:18
1,2.,20,"Hendry, Sam","Salt Lake City, UT, USA",24,M,1:58:24,2:18
2,3.,1,"Norris, David","Steamboat Springs, CO, USA",33,M,1:58:27,2:18
3,4.,16,"Patterson, Scott","Anchorage, AK, USA",32,M,1:58:27,2:18
4,5.,2,"AGNELLET, gerard","LE GRAND BORNAND, FRA",31,M,1:58:32,2:18
5,6.,10,"Ketterson, Zak","Minneapolis, MN, USA",26,M,1:58:34,2:18
6,7.,21,"Izquierdo-Bernier, Ricardo","Montr̩al-Ouest, CAN",28,M,1:58:54,2:19
7,8.,29,"Becker, Braden","Craftsbury Common, VT, USA",27,M,1:58:54,2:19
8,9.,22,"Izquierdo-Bernier, Francis","Saint-Adolphe-d'Howard, CAN",25,M,1:59:16,2:19
9,10.,14,"Hill, Scott","Canmore, CAN",29,M,1:59:16,2:19
10,11.,25,"Wonders, Hunter","Anchorage, AK, USA",25,M,1:59:44,2:20
11,12.,7,"GIRARD CARRABIN, DORIAN","FRANCE, FRA",24,M,1:59:55,2:20
12,13.,27,"Bogl, Lucas","Aschau im Chiemgau, GER",33,M,1:59:56,2:20
13,14.,5,"Winker, Christian","Spaichingen, GER",27,M,2:00:42,2:21
14,15.,8,"Liebsch, Matthew Edward","Long Lake, MN, USA",40,M,2:01:57,2:22
15,16.,41,"O'Harra, Thomas","Anchorage, AK, USA",27,M,2:03:23,2:24
16,17.,13,"Butts, Garrett","Anchorage, AK, USA",23,M,2:03:57,2:25
17,18.,9,"Gregg, Brian","Minneapolis, MN, USA",39,M,2:05:38,2:27
18,19.,243,"Adicoff, Jake","Ketchum, ID, USA",28,M,2:05:40,2:27
19,20.,18,"Dodgson, Finn","Thunder Bay, CAN",24,M,2:05:50,2:27
20,21.,247,"Zink, Simon","Bozeman, MT, USA",25,M,2:07:03,2:28
21,22.,26,"Moore, Willson","Bozeman, MT, USA",24,M,2:07:54,2:29
22,23.,54,"Ellingson, Jakob","Saint Paul, MN, USA",29,M,2:07:53,2:29
23,24.,11,"Martin, Remi","AUTRANS, FRA",25,M,2:08:07,2:29
24,25.,246,"Nielsen, Eli","Jericho, VT, USA",24,M,2:08:46,2:30
25,26.,98,"Siegel, Andrew","Laramie, WY, USA",25,M,2:09:07,2:31
26,27.,12,"Power, Nick","Bozeman, MT, USA",31,M,2:10:25,2:32
27,28.,19697,"Diggins, Jessie","Afton, MN, USA",32,F,2:10:39,2:32
28,29.,505,"Dolci, FLORA","Villard Saint Pancrace, FRA",24,F,2:11:05,2:33
29,30.,74,"Briggs, Matthew","Bend, OR, USA",36,M,2:10:55,2:33
30,31.,106,"Ross, Nick","Minneapolis, MN, USA",35,M,2:11:14,2:33
31,32.,250,"Golin, Luc","Hamel, MN, USA",24,M,2:11:38,2:34
32,33.,248,"Lynch, Joseph","Craftsbury Common, VT, USA",22,M,2:11:53,2:34
33,34.,55,"Millan, Andrew","Minneapolis, MN, USA",25,M,2:11:59,2:34
34,35.,245,"Cobb, Tim","Westford, VT, USA",22,M,2:11:57,2:34
35,36.,78,"Farabaugh, Adam","BOZEMAN, MT, USA",35,M,2:12:02,2:34
36,37.,49,"Brown, Andrew","Golden Valley, MN, USA",35,M,2:12:15,2:34
37,38.,42,"Mahaffy, Max","Thunder Bay, CAN",21,M,2:12:13,2:34
38,39.,45,"Solow, Will","Hinesburg, VT, USA",24,M,2:12:19,2:34
39,40.,53,"Campbell, Mitchell","Minneapolis, MN, USA",31,M,2:12:36,2:35
40,41.,80,"Joda, David","Saint Paul, MN, USA",31,M,2:13:21,2:36
41,42.,48,"Wartman, Jakob","Duluth, MN, USA",37,M,2:13:18,2:36
42,43.,85,"Kjorstad, Tyler","Laramie, WY, USA",38,M,2:13:23,2:36
43,44.,61,"Campbell, Henry","Superior, WI, USA",22,M,2:13:49,2:36
44,45.,242,"Newell, Andrew","Bozeman, MT, USA",40,M,2:14:26,2:37
45,46.,30,"Schwinghamer, John","Craftsbury Common, VT, USA",24,M,2:14:36,2:37
46,47.,221,"Berryman, Orion","Missoula, MT, USA",42,M,2:14:41,2:37
47,48.,113,"Stuber, Thomas","Delafield, WI, USA",37,M,2:14:41,2:37
48,49.,501,"Sonnesyn, Alayna","Minneapolis, MN, USA",27,F,2:14:59,2:37
49,50.,517,"Rudd, Hannah","Bozeman, MT, USA",25,F,2:15:09,2:37
50,51.,527,"Patterson, Caitlin","Portland, ME, USA",34,F,2:15:08,2:37
51,52.,82,"Shaheen, Samuel","State College, PA, USA",28,M,2:14:54,2:37
52,53.,513,"Jortberg, Lauren","South Londonderry, VT, USA",26,F,2:15:16,2:38
53,54.,515,"Lawson, Alexandra","Craftsbury Common, VT, USA",25,F,2:15:19,2:38
54,55.,89,"Osterberg, Carl","Duluth, MN, USA",27,M,2:15:24,2:38
55,56.,111,"McEwen, Gavin","Fort Collins, CO, USA",26,M,2:15:17,2:38
56,57.,127,"Elder, Jack","New York, NY, USA",27,M,2:15:23,2:38
57,58.,507,"BENTZ, coralie","LE GRAND BORNAND, FRA",27,F,2:16:03,2:38
58,59.,224,"Elfstrom, Samuel","Bozeman, MT, USA",30,M,2:15:54,2:39
59,60.,99,"Porath, Nathan","Northfield, MN, USA",41,M,2:15:56,2:39
60,61.,76,"Nadler, Andrew","Hanover, NH, USA",29,M,2:16:04,2:39
61,62.,124,"Kershaw, Andrew","Minneapolis, MN, USA",30,M,2:16:08,2:39
62,63.,225,"Clemence, Andrew","Boulder, CO, USA",34,M,2:16:11,2:39
63,64.,249,"Edwards, Matt","Bozeman, MT, USA",46,M,2:16:20,2:39
64,65.,509,"Bulle, Emilie","FRANCE, FRA",26,F,2:16:39,2:39
65,66.,166,"Harvey, Christopher","Lino Lakes, MN, USA",37,M,2:16:19,2:39
66,67.,71,"Senkerik, Ben","Sussex, WI, USA",30,M,2:16:27,2:39
67,68.,511,"Bianco, Erin","Bozeman, MT, USA",25,F,2:16:51,2:39
68,69.,62,"Reich, Alex","Minneapolis, MN, USA",34,M,2:16:40,2:40
69,70.,66,"Queitzsch, Chris","Minneapolis, MN, USA",35,M,2:17:01,2:40
70,71.,83,"Bauer, Benjamin","Cloquet, MN, USA",21,M,2:16:56,2:40
71,72.,72,"Bich, Nathan","Duluth, MN, USA",25,M,2:17:02,2:40
72,73.,97,"Wood, Dan","Bozeman, MT, USA",28,M,2:17:01,2:40
73,74.,60,"LaFrance, Joel","Minneapolis, MN, USA",43,M,2:17:08,2:40
74,75.,143,"Halvorson, Grant","Saint Paul, MN, USA",26,M,2:17:13,2:40
75,76.,179,"Donohue, Emmett","Duluth, MN, USA",22,M,2:17:16,2:40
76,77.,222,"Schoen, Scott","Hailey, ID, USA",31,M,2:17:21,2:40
77,78.,63,"Wieber, Isaac","Minneapolis, MN, USA",27,M,2:17:52,2:41
78,79.,59,"Reich, Henry","Missoula, MT, USA",36,M,2:17:56,2:41
79,80.,88,"NELSON, ZACHARY","Shakopee, MN, USA",31,M,2:17:53,2:41
80,81.,87,"Maronde-Gusev, Maxim","Chicago, IL, USA",20,M,2:17:59,2:41
81,82.,159,"Gordon, Koby","Bozeman, MT, USA",27,M,2:17:50,2:41
82,83.,502,"Yeaton, Jessica","Steamboat Springs, CO, USA",32,F,2:18:22,2:41
83,84.,112,"Wallen, Derek","Victoria, MN, USA",45,M,2:18:03,2:41
84,85.,102,"Bowman, Anders","Minneapolis, MN, USA",33,M,2:18:11,2:41
85,86.,526,"Bredal, Mariah","Bozeman, MT, USA",26,F,2:18:32,2:41
86,87.,219,"Korn, Joshua","Ogden, UT, USA",43,M,2:18:23,2:41
87,88.,142,"Rogers, Ryan","Osceola, WI, USA",24,M,2:18:24,2:42
88,89.,132,"Thuente, Joe","Traverse City, MI, USA",21,M,2:18:29,2:42
89,90.,229,"Sonnesyn, Anders","Minneapolish, MN, USA",24,M,2:18:29,2:42
90,91.,115,"Regan, Cam","Portland, ME, USA",30,M,2:18:40,2:42
91,92.,81,"Curran, Dennis","Plymouth, MN, USA",41,M,2:18:54,2:42
92,93.,69,"Schouten, Tristan","Plymouth, WI, USA",41,M,2:19:03,2:42
93,94.,197,"Beebe, Theodore","Bozeman, MT, USA",25,M,2:18:56,2:42
94,95.,198,"Nightingale, Jack","Champlin, MN, USA",21,M,2:19:18,2:43
95,96.,120,"Creagh, Ben","Birchwood Village, MN, USA",39,M,2:19:28,2:43
96,97.,121,"Cigan, Paul","Hayward, WI, USA",38,M,2:19:32,2:43
97,98.,50,"Holmes, Sam","Marquette, MI, USA",30,M,2:19:55,2:43
98,99.,75,"Olejniczak, Peter","Minneapolis, MN, USA",31,M,2:19:59,2:43
99,100.,110,"Duede, David","Eagan, MN, USA",45,M,2:20:06,2:44
100,101.,44,"Heath, Garrett","Bend, OR, USA",38,M,2:20:15,2:44
101,102.,64,"Nistler, Matthew","Duluth, MN, USA",35,M,2:20:09,2:44
102,103.,109,"LaLonde, Mark","CHANHASSEN, MN, USA",41,M,2:20:20,2:44
103,104.,84,"Heath, Elliott","Portland, OR, USA",35,M,2:20:26,2:44
104,105.,131,"Woodbeck, Jay","St Paul, MN, USA",32,M,2:20:25,2:44
105,106.,46,"Bauer, John","Hayward, WI, USA",55,M,2:20:39,2:44
106,107.,107,"Ellingson, Marc","Minneapolis, MN, USA",40,M,2:20:55,2:44
107,108.,512,"Sutro, Evelina","Carbondale, CO, USA",27,F,2:21:16,2:45
108,109.,114,"Olson, Paul","Mora, MN, USA",44,M,2:20:57,2:45
109,110.,51,"Swanson, Adrian","Minneapolis, MN, USA",34,M,2:21:13,2:45
